id,brd,src,chnl,tact_id,cpgn_id,cpgn,act_nm,act_dt,ta,indc,trans_id,cntt_id,cntt_nm,subj_ln,url,devc_nm,aset_id,suggestion_id,email,act_cnt,src_chnl_nm,src_act_nm,src_devc_nm,src_brd_nm,npi,sub_chnl,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10
0,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,05/08/24,ONCOLOGY,DLBCL,,145422,LDuYzOmSLoQoeQubXbrHIbMjipIGysRoePQLtFLCWFNGXHjZBVPjgkyjyjlQOwUARZfrHiUATsszXQwdTBAseDrvQdnVRkgbNiKRqqSwAaICTpCodzejYLBKlH,,Unknown,MOBILE,YES-00770,44203,pearsonchristine@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
1,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,05/08/24,ONCOLOGY,DLBCL,,145422,LDuYzOmSLoQoeQubXbrHIbMjipIGysRoePQLtFLCWFNGXHjZBVPjgkyjyjlQOwUARZfrHiUATsszXQwdTBAseDrvQdnVRkgbNiKRqqSwAaICTpCodzejYLBKlH,,Unknown,MOBILE,YES-00770,44203,nicole05@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
2,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151376,iXbxhmNZnPFzMipoajmZHmHTAdKHPGsgbhEsuLkmJEtroVCgIJvsGVQWlYHFYvPYImoVZwHAEZIAjntKTDnPMVpAenVywysqXprxzWAwzJxkEkzfErnq,,Unknown,MOBILE,YES-00770,44203,nicole05@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
3,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151376,iXbxhmNZnPFzMipoajmZHmHTAdKHPGsgbhEsuLkmJEtroVCgIJvsGVQWlYHFYvPYImoVZwHAEZIAjntKTDnPMVpAenVywysqXprxzWAwzJxkEkzfErnq,,Unknown,MOBILE,YES-00770,44203,nicole05@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
4,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151376,iXbxhmNZnPFzMipoajmZHmHTAdKHPGsgbhEsuLkmJEtroVCgIJvsGVQWlYHFYvPYImoVZwHAEZIAjntKTDnPMVpAenVywysqXprxzWAwzJxkEkzfErnq,,Unknown,MOBILE,YES-00770,44203,pearsonchristine@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
5,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151376,iXbxhmNZnPFzMipoajmZHmHTAdKHPGsgbhEsuLkmJEtroVCgIJvsGVQWlYHFYvPYImoVZwHAEZIAjntKTDnPMVpAenVywysqXprxzWAwzJxkEkzfErnq,,Unknown,MOBILE,YES-00770,44203,pearsonchristine@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
6,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151376,iXbxhmNZnPFzMipoajmZHmHTAdKHPGsgbhEsuLkmJEtroVCgIJvsGVQWlYHFYvPYImoVZwHAEZIAjntKTDnPMVpAenVywysqXprxzWAwzJxkEkzfErnq,,Unknown,MOBILE,YES-00770,44203,nicole05@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
7,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151380,nhJvTKCGAVqoGXTbRyXLZavZmITZCJeRtxPaZGgQaAchOKqygqrfEmFPjmTrXjaInfBqVhMrVCEOTvPhXqjdImnTNvIkAIZCJgPwbvfqoAndmEhdEQfKhM,,Unknown,MOBILE,YES-00770,44203,pearsonchristine@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
8,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151376,iXbxhmNZnPFzMipoajmZHmHTAdKHPGsgbhEsuLkmJEtroVCgIJvsGVQWlYHFYvPYImoVZwHAEZIAjntKTDnPMVpAenVywysqXprxzWAwzJxkEkzfErnq,,Unknown,MOBILE,YES-00770,44203,pearsonchristine@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
9,YESCARTA,DataBoardHub,DISPLAY,,19604,Campaign 767,IMPRESSION,29/08/24,ONCOLOGY,DLBCL,,151380,nhJvTKCGAVqoGXTbRyXLZavZmITZCJeRtxPaZGgQaAchOKqygqrfEmFPjmTrXjaInfBqVhMrVCEOTvPhXqjdImnTNvIkAIZCJgPwbvfqoAndmEhdEQfKhM,,Unknown,MOBILE,YES-00770,44203,nicole05@example.com,,,Impression,phone,YESCARTA,1248081957,,,,,,,,,,,
